Artifact ID,Item Name,Category,Provenance/Significance,Source,Picture,Additional information,URL,Magazine,Date,Vol.,Issue
26.0011,Kastan MTB Frame,Frame,"This mountain bike frame produced by Kastan represents the expansion of BMX frame builders into the emerging mountain bike market during the late 1980s and early 1990s. As off-road cycling grew rapidly in popularity, several BMX innovators began applying their frame-building experience to mountain bike design. Bikes like this illustrate the transition of BMX craftsmanship and engineering into the broader world of off-road cycling.",Online ,,"After helping establish Redline Bicycles, frame builder Linn Kastan later launched Kastan BMX, introducing the KEX (Kastan Extra) frame series. Kastan later expanded into mountain bike design during the late 1980s and early 1990s, applying lessons learned from BMX frame construction to the rapidly growing mountain biking market.",,,,,
26.0012,"2020 Gold Cup ""1"" Number Plate",Plate,"This Gold Cup #1 number plate was awarded during the 2020 Gold Cup Championship Series sanctioned by USA BMX. The Gold Cup series recognizes the top amateur racers within regional BMX competition, with the #1 plate awarded to riders who earn the highest ranking in their class. Plates like this symbolize achievement at the regional championship level and represent an important milestone in competitive BMX racing.",Online,,"The USA BMX Gold Cup Championship Series is one of the largest regional BMX racing programs in the United States. Riders compete in qualifier races throughout the season to earn points toward regional standings, with the top racers earning distinctive Gold Cup number plates such as the #1 plate awarded to the regional champion.",,,,,
26.0013,"2015 California State Qualifier South Lake Tahoe - ""3rd"" place tin",Awards,"South Lake Tahoe BMX is a USA BMX sanctioned track located in South Lake Tahoe, California. In 2015 the track hosted a California State Qualifier race, where riders competed to earn points toward the USA BMX California State Championship standings. State Qualifier events are an important part of grassroots BMX racing and bring riders together from across the region to compete for state rankings.",Leary Locker,,"South Lake Tahoe BMX has hosted numerous regional races sanctioned by USA BMX, serving riders from both California and neighboring states. Tracks like South Lake Tahoe BMX play an important role in the grassroots racing network that supports state championship series competition.",,,,,
26.0014,"Clear NBL Plate ""572""",Plate,"This clear #572 BMX number plate was used by local rider John Stancliff during organized BMX competition. Clear number plates became popular among some racers for their distinctive appearance, allowing bike graphics and frame details to remain visible through the plate. However, because transparent plates could make rider numbers harder for officials to read during races, sanctioning bodies such as the National Bicycle League later prohibited their use in competition. Artifacts like this plate illustrate a period of experimentation in BMX equipment before stricter race regulations were adopted.",Mark Stancliff,,"The National Bicycle League (NBL) was one of the primary sanctioning bodies for BMX racing in the United States from the 1970s until its merger with USA BMX in 2011. During its operation, the NBL periodically updated equipment rules to ensure rider identification and safety during competition.",,,,,
26.0015,"""KB88"" Helmet",Helmet ,"Kyle Bennett, known as “KB88,” was one of the top professional BMX racers of the 2000s. The nickname combined his initials with the number 88, which became his signature race number. Bennett won multiple national titles and represented the United States at the 2008 Olympic Games when BMX racing made its Olympic debut.",Leary Locker,,Kyle Bennett was a three-time **USA BMX No. 1 Pro champion and represented the United States in the inaugural Olympic BMX competition at the 2008 Summer Olympics in Beijing. His nickname “KB88” became widely recognized within the BMX community and remains closely associated with his racing legacy.,,,,,
26.0016,Aluminum JAD Prototype complete bike,Complete Bike,"JAD BMX was a small, rider-driven BMX brand founded by Mike DiMartino in the early 1990s. Operating on a limited scale, JAD produced small-run frames and related projects during a period when independent builders were experimenting with new BMX designs and materials. One of the most notable artifacts associated with the brand is the aluminum JAD prototype bike, a rare example of early 1990s experimentation with lightweight BMX construction. Artifacts like this help document the creativity and innovation of smaller builders working outside the major BMX manufacturers.",Built,,Independent builders like Mike DiMartino were part of a wave of small BMX manufacturers during the late 1980s and early 1990s who experimented with alternative materials and custom fabrication techniques. Prototype bikes such as this aluminum JAD BMX example illustrate the innovative spirit of smaller BMX builders working alongside larger industry brands during that era.,,,,,
26.0017,Autographed Dani George Jersey,Jersey,"Dani George is an elite BMX racer who has competed internationally and represented Supercross BMX, a performance-focused BMX racing brand founded by Bill Ryan. Riders on the Supercross team compete in major BMX racing events worldwide, helping represent the continued growth of elite women’s BMX racing.",Leary Locker,,"Supercross BMX, founded by Bill Ryan, is known for producing high-performance BMX racing frames and supporting elite riders around the world. Athletes such as Dani George represent the continued growth and international presence of women competing at the highest levels of BMX racing.",,,,,
26.0018,"Leary ""81"" Redman jersey",Jersey,"Redman BMX was a BMX racing brand active during the late 1970s and early 1980s. The company produced frames and racing apparel and was associated with riders such as Harry Leary, who competed on the Redman team during the early years of his career. Redman represents the era when small independent manufacturers helped shape the early development of organized BMX racing.",Leary Locker,,Early BMX brands such as Redman BMX were often small independent companies that supported local and regional racers during the formative years of the sport. Riders like Harry Leary helped bring visibility to these brands through competition and magazine coverage during the late 1970s and early 1980s.,,,,,
26.0019,Connor Fields Signed Factory Misprint Jersey,Jersey,"This factory Answer BMX team jersey worn by Olympic champion Connor Fields is signed by the rider and carries a unique connection to BMX legend Harry Leary. The jersey was sent to Leary after he recognized it during a giveaway of items from Fields’ personal collection. The piece also features a rare factory misprint, with Fields’ name incorrectly spelled “Conner Fields,” making it a distinctive artifact linking two generations of BMX racing history.",Leary Locker,,"This factory Answer BMX team jersey worn by Olympic champion Connor Fields is signed by the rider and carries a unique connection to BMX legend Harry Leary. The jersey was sent to Leary after he recognized it during a giveaway of items from Fields’ personal collection. The piece also features a rare factory misprint, with Fields’ name incorrectly spelled “Conner Fields,” making it a distinctive artifact linking two generations of BMX racing history.",,,,,
26.0020,Todd Huffman GT Letterman Jacket,Gear,"This GT Bicycles Air Show factory team letterman jacket was owned by Todd Huffman, Marketing Director for GT Bicycles during the 1990s. The varsity-style jacket features embroidered GT Air Show branding and Huffman’s name, linking it directly to GT’s freestyle promotional programs of the era. Demonstration teams and events such as the GT Air Show played an important role in promoting BMX freestyle and expanding the sport’s cultural reach.",Todd Huffman,,"The GT Bicycles Air Show Team was a traveling freestyle BMX demonstration group active during the late 1980s and 1990s. Led by riders such as Eddie Fiola, the team performed shows around the world to promote freestyle BMX and the GT brand.",,,,,
26.0021,Leary Thrill ROC 1 Jersey,Jersey,This Thrill ROC #1 jersey was worn by BMX legend Harry Leary during his racing career. Jerseys like this represent the factory team identity and rider branding that helped define BMX racing culture during the sport’s early years.,Leary Locker,,"The ROC #1 designation refers to the Race of Champions, one of the most prestigious events in BMX racing, where riders compete for the title against top competitors from across the sport. Winning the ROC allows the rider to carry the #1 plate designation, marking them as the event champion.",,,,,
26.0022,Greg Hill GHP Jersey,Jersey,"This GHP team jersey represents BMX champion Greg Hill and his brand Greg Hill Products (GHP). Hill was one of the most dominant BMX racers of the 1980s, winning multiple national titles and later founding GHP to produce BMX racing frames and equipment. Jerseys like this reflect the transition of elite riders into brand builders within the BMX industry.",Leary Locker,,"GHP equipment and team apparel became closely associated with competitive BMX racing during the late 1980s and early 1990s, reflecting the influence of rider-driven companies within the sport.",,,,,
26.0023,Leary Biolab ROC 1 Jersey,Jersey,"This BIOLAB ROC #1 jersey was worn by BMX pioneer Harry Leary during his racing career. Sponsored by BIOLAB/PEAK PERFORMANCE, jerseys like this represent the factory team sponsorships that became a key part of BMX racing during the sport’s early competitive years.",Leary Locker,,"The red jersey color reflects the ROC championship designation, a tradition influenced by motocross where the #1 rider often wore red to signify championship status. Early BMX racing borrowed many visual and cultural elements from motocross, including champion colors and race presentation.",,,,,
26.0024,Greg Mathias Signed Team USA Jersey ,Jersey,"
This Team USA jersey signed by Greg Mathias features a design inspired by the classic JMC Racing style associated with Mathias during his BMX racing career. Mathias was one of the top BMX racers of the early 1980s, and memorabilia like this jersey reflects his contributions to the sport and the enduring influence of the JMC brand in BMX racing history.",Greg Mathias,,"""USA BMX is stoked to reveal this year's Team USA jersey, which is a direct nod to the patriotic look of an iconic American BMX brand - JMC Racing ... specifically, with a salute to the stylish BMX Hall of Famer from Oregon, Darrell Young.

These jerseys will be worn by American racers attending the UCI World Championships in Nantes, France - held during July 26-31, 2022. Traditionally, at the end of each Worlds, attendees trade their jerseys with fellow competitors from other countries - and U.S. jerseys are always a much sought-after item. 

For those curious on their BMX history, research Team USA's classic look by googling JMC and Darrell Young. All of us hope to see this year's squad channel their inner-DY, and not only be as fast as him, but just as smooth.""",https://bmxoregon.com/2022/05/03/2022-team-usa-worlds-jerseys-revealed/,,,,
26.0025,"Leary Fasthouse ""4"" Jersey",Jersey,"This Fasthouse jersey represents BMX pioneer Harry Leary and reflects the continued recognition of Leary’s legacy within BMX culture. Produced by Fasthouse, jerseys like this celebrate the influence of early BMX legends whose riding helped shape the sport’s development.",Leary Locker,,Fasthouse is a California motorsports apparel brand inspired by vintage motocross and BMX racing culture.,,,,,
26.0026,GHP Jersey,Jersey,"This GHP team jersey represents the BMX racing brand Greg Hill Products, founded by BMX champion Greg Hill. GHP became known for producing high-performance BMX racing frames and equipment, continuing Hill’s influence on the sport following his dominant racing career in the 1980s.",Leary Locker,,"Greg Hill Products (GHP) was founded by BMX champion Greg Hill, one of the most dominant racers of the 1980s. Hill won numerous national championships and international titles, including the IBMXF World Championship in 1985, helping establish GHP as a respected name in BMX racing equipment and rider-driven design.",,,,,
26.0027,Stancliff Jersey,Jersey,"This BMX racing jersey belonged to local rider John Stancliff, representing the grassroots level of BMX competition that has always been the foundation of the sport. While professional racers often receive the most recognition, local riders like Stancliff played an important role in sustaining BMX racing communities through weekly track events and regional competitions. Artifacts such as this jersey help document the everyday racers who formed the backbone of BMX culture at local tracks.",John Stancliff,,"Local Rider Jersey (John Stancliff): The original Lititz BMX track operated in Lititz, Pennsylvania during the early years of organized BMX racing in the region and helped introduce many local riders to the sport. Tracks like this were typically community-built facilities that formed the foundation of grassroots BMX racing before the sport became more widely organized under national sanctioning bodies.",,,,,
26.0028,2000 ABA 3rd Place Plaque,Award,This 3rd Place plaque from the 2000 season was earned by BMX pioneer Harry Leary in competition sanctioned by the American Bicycle Association (ABA). Awards like this reflect Leary’s continued presence in BMX racing decades after his early success in the sport’s formative years and illustrate the lasting impact of one of BMX’s most recognizable riders.,Leary Locker,,The American Bicycle Association (ABA) was one of the primary sanctioning bodies that helped organize BMX racing across the United States from the late 1970s until it later became part of USA BMX.,,,,,
26.0029,"DIRTWERX 24"" cruiser prototype frame and fork ",Frame ,This DIRTWERX 24-inch cruiser prototype frame and fork represents an experimental BMX racing design developed during a period when builders were exploring new frame geometries and materials for cruiser-class racing. Prototype frames such as this were often produced in limited numbers to test performance and handling before potential production. Artifacts like this illustrate the innovation and experimentation that have long driven BMX frame design and development.,Online (original Leary Locker),,"DIRTWERX was founded by BMX pioneer Harry Leary in 1996 after the collapse of the BMX company Balance, where Leary had served as general manager. Wanting to build something of his own after decades of racing and promoting other brands, Leary launched DIRTWERX as a race-driven BMX company, focusing on high-quality chromoly frames, forks, and handlebars. The brand emphasized durability and ride characteristics over lightweight aluminum construction, reflecting Leary’s belief that steel provided better performance and longevity for most riders. Though a small operation, DIRTWERX products were exported internationally and developed through Leary’s continued involvement in BMX racing and rider feedback.",https://bmxultra.com/archive/prosection/interview/harryleary.htm,,,,
26.0030,Harry Leary's 2017 UCI Worlds Helmet,Helmets,"This helmet was worn by BMX legend Harry Leary during the 2017 BMX World Championships sanctioned by the Union Cycliste Internationale (UCI). Even decades after helping define the early era of BMX racing, Leary continued to compete at the international level, demonstrating his lasting dedication to the sport. Artifacts such as this helmet highlight the longevity of Leary’s racing career and his continued presence in BMX competition across multiple generations.",Leary Locker,,The Union Cycliste Internationale (UCI) BMX World Championships bring together riders from around the world to compete for international titles across multiple age and skill classes.,,,,,
26.0031,"Jeremy McGrath ""3"" Helmet",Helmets,"This helmet bearing the iconic “3” is autographed by Jeremy McGrath, widely known as the “King of Supercross” for his dominance in professional motocross during the 1990s. Signed memorabilia such as this helmet reflects McGrath’s lasting influence on motorcycle racing and highlights the close cultural connection between motocross and BMX, two sports that have long shared riders, technology, and style.",Leary Locker,,"Motocross legend Jeremy McGrath is widely credited with helping popularize modern Supercross racing during the 1990s. His success and riding style influenced both motocross and BMX culture, reflecting the long-standing crossover between the two sports.",,,,,
26.0032,Greg Mathias Signed Harry Leary Helmet,Helmets,This helmet associated with Harry Leary was signed by Greg Mathias as part of a planned fundraising effort honoring Leary. The charity project was temporarily paused at the request of the Leary family while determining the most appropriate organization to support.,Leary Locker,,"BMX racer Greg Mathias began racing in Arizona during the early years of organized BMX and remained active in the sport for decades. In later years he raced with teams associated with longtime friend Harry Leary, including Fall Risk Racing and Daylight BMX.",,,,,
26.0033,"Supercross of BMX ""Top Money Winner"" Plaque
North Carolina State Fairgrounds 22 February, 1985",Awards,"This plaque was awarded for “Top Money Winner” at the Supercross of BMX event held at the North Carolina State Fairgrounds on February 22, 1985. Events like the Supercross of BMX brought together top professional racers to compete for prize money during a period when BMX racing was rapidly growing in popularity. Awards such as this plaque reflect the emergence of larger promotional races that highlighted the professional side of BMX competition during the mid-1980s.",Leary Locker,,"Promotional races such as the Supercross of BMX were popular during the 1980s BMX boom, often featuring prize money and attracting many of the sport’s top professional riders. Events held at venues like the North Carolina State Fairgrounds helped showcase BMX racing to larger audiences during this period of rapid growth.",,,,,
26.0034,"World  4 Stroke MX World Championships ""2nd"" Place
April 12 - 13 2003",Awards,"This plaque commemorates a 2nd Place finish at the 4-Stroke MX World Championships, held April 12–13, 2003. Events like the 4-Stroke MX World Championships highlighted the growing prominence of four-stroke engines in motocross competition during the early 2000s. Awards such as this plaque represent achievements in competitive motocross and illustrate the close cultural and technical connections between motocross and BMX racing communities.",Leary Locker,,The World 4-Stroke MX World Championships were created during the early 2000s when four-stroke motorcycle technology was rapidly becoming dominant in motocross racing. Events like this highlighted the transition away from traditional two-stroke engines and reflected a major technological shift in modern motocross competition.,,,,,
26.0035,JAG Kit with Oakley Factory Pilot Decal,Gear,"This JAG kit includes BMX accessories and decals associated with JAG BMX, along with a Factory Pilot decal from Oakley. During the early years of BMX racing and freestyle, decals and accessory kits like this were commonly used by riders to customize their bikes and helmets. Items such as these reflect the visual style and brand identity that became an important part of BMX culture during the sport’s formative decades.",Online,,Accessory kits and decals from companies such as JAG BMX were commonly used by riders during the 1980s and 1990s to customize bikes and protective gear. The included Oakley Factory Pilot decal reflects the influence of motocross and action-sports branding within BMX culture.,,,,,
26.0036,"Letter and DIRTWERX Decal from Dottie
Former coowner of a track and good friends of Harry Leary",Reference,"This artifact includes a personal letter and DIRTWERX decal sent by Dottie, a former co-owner of a BMX track and longtime friend of BMX pioneer Harry Leary. Items like this provide insight into the personal relationships and community connections that helped sustain BMX racing at the local level. Personal correspondence and memorabilia such as this help document the people and friendships that shaped BMX culture beyond the race track.",Dottie,,"This handwritten letter from Dottie Ellis-Merki, a friend and former track operator associated with Harry Leary, accompanied a DIRTWERX decal sent to support a BMX build project. In the note, Dottie mentions that perfume may have leaked onto the envelope and possibly affected the sticker, and she also references an upcoming memorial for Harry at Dirtyfest in California.",,,,,
26.0037,"Cactus Park BMX State Qualifier - ""1st"" - Radical Rick Plaque
First of the Leary Locker purchases",Awards,"This 1st Place plaque from a Cactus Park BMX State Qualifier features artwork by Radical Rick creator Damian Fulton. It was the first item acquired from the “Leary Locker” collection, which ultimately led to the discovery of additional artifacts connected to BMX legend Harry Leary. The plaque also inspired a podcast conversation with Fulton and a charity effort benefiting Samaritan’s Purse, where all proceeds were donated.",Leary Locker,,"This plaque was the first artifact acquired from the “Leary Locker” collection, which later revealed numerous additional items connected to BMX pioneer Harry Leary. The Radical Rick artwork was created by Damian Fulton, and the discovery led to a podcast discussion with Fulton as well as a charity fundraiser supporting Samaritan's Purse, with 100% of proceeds donated.",Damian Fulton Fireside BMX Chat: https://youtu.be/vtVr6GBJtlM?si=L8jdyQFYpHgkhIJ4,,,,
26.0038,Harry Leary Specialized Hemi Frame Signed Twice by Jeremy McGrath ,Frame,"This Specialized Hemi BMX frame was owned and ridden by BMX pioneer Harry Leary. The frame has been signed twice by motocross legend Jeremy McGrath, reflecting the long-standing connection between BMX and motocross culture. Photographs from the Leary family show Harry riding this frame, including one image provided by Linda Leary; the Honda jersey worn in that photo is also preserved within the Lititz BMX Archive, helping connect the artifact directly to documented moments from Leary’s riding history.",Leary Locker,,"This Specialized Hemi BMX frame was personally ridden by BMX pioneer Harry Leary and later signed twice by motocross champion Jeremy McGrath. Photographs provided by Linda Leary document Leary riding the frame, including an image where he is wearing a Honda jersey that is also preserved in the Lititz BMX Archive.",,,,,
26.0039,Honda Jersey,Jersey,"This Honda racing jersey was worn by BMX pioneer Harry Leary and appears in a photograph showing Leary riding his Specialized Hemi BMX frame. The image, provided by Linda Leary, helps document the jersey in use during Leary’s riding career. Preserved alongside the Hemi frame within the Lititz BMX Archive, the jersey provides a direct visual connection between the artifact and a documented moment in BMX history.",Leary Locker,,"This Honda racing jersey worn by Harry Leary appears in a photograph showing him riding his Specialized Hemi BMX frame. The photo, provided by Linda Leary, documents the jersey in use and connects it directly to another artifact preserved within the Lititz BMX Archive.",,,,,
26.0040,Harry Leary GT Lanyard,Memorabilia ,"This GT Bicycles lanyard was obtained during a BMX show that Harry Leary and his girlfriend at the time (Patty) attended in Australia. During the event, Leary—known for his fiery personality—famously threw the lanyard to a friend in frustration and told him to take over. ",Linda Leary,,"This GT Bicycles lanyard was obtained during a BMX show in Australia attended by Harry Leary and his girlfriend at the time, Patty. According to the story associated with the item, Leary tossed the lanyard to a friend during the event and told him to take over, reflecting the candid and colorful personalities often found in BMX culture.",,,,,
26.0041,35 Year Supercross Damian Fulton Signed Print - Damian Fulton & Bill Ryan 27/35,Art,"This 35-Year Anniversary Supercross BMX print was created by Radical Rick artist Damian Fulton to celebrate the legacy of Supercross BMX, founded by Bill Ryan. The print is signed by Damian Fulton, connecting BMX racing history with the artwork and visual culture that helped shape the sport. Pieces like this highlight the collaboration between BMX innovators and artists who documented and celebrated the sport’s evolution.",Damian Fulton,,"This 35-Year Anniversary Supercross BMX print was created by Radical Rick artist Damian Fulton to celebrate the legacy of Supercross BMX, founded by Bill Ryan. The print is signed by Damian Fulton, connecting BMX racing history with the artwork and visual culture that helped shape the sport. Pieces like this highlight the collaboration between BMX innovators and artists who documented and celebrated the sport’s evolution.",https://radicalrickbmx.com/collections/artwork/products/rick-vs-rick-limited-edition-giclee-print,,,,
26.0042,Radical Rick 2025 New Years Drawing Original 1 of 1,Art,"This original Radical Rick New Year’s 2025 drawing was created by BMX artist Damian Fulton, whose Radical Rick comic strip helped define the visual culture of BMX during the 1980s. Fulton traditionally creates a special illustration each year celebrating the arrival of the new year, featuring Radical Rick launching into the future with his signature BMX energy. This hand-signed piece is drawn in Fulton’s classic style and represents the continued legacy of Radical Rick within BMX art and culture.",Damian Fulton,,The Radical Rick comic series created by Damian Fulton appeared in BMX magazines throughout the 1980s and became one of the most recognizable artistic representations of BMX culture. Fulton continues to produce original artwork celebrating BMX history and the enduring popularity of the Radical Rick character.,https://radicalrickbmx.com/collections/artwork/products/new-years-2025-original-art?variant=42419155992662,,,,
26.0043,Torker Cathy Hanna Shirt,Clothing,"This T-shirt from Torker BMX celebrates BMX racer Cathy Hanna, one of the most recognizable female figures in early BMX culture. The design references her famous BMX Action “Hot Shot” photo and the nickname “Heart Throb,” which became widely associated with Hanna during the BMX boom of the 1980s. The shirt was produced as a tribute to her legacy and Hall of Fame recognition, highlighting both her popularity and her role as a dedicated BMX racer and supporter of the sport.",Torker,,"This T-shirt from Torker BMX celebrates BMX racer Cathy Hanna, one of the most recognizable female figures in early BMX culture. The design references her famous BMX Action “Hot Shot” photo and the nickname “Heart Throb,” which became widely associated with Hanna during the BMX boom of the 1980s. The shirt was produced as a tribute to her legacy and Hall of Fame recognition, highlighting both her popularity and her role as a dedicated BMX racer and supporter of the sport.",https://torkerracing.com/products/torker-cathy-hanna-heart-throb-shirt,,,,
26.0044,"BMXA Hat Signed by Bob Haro - 80 - and Cathy Hanna
Includes the name Laurie",Hat,"This BMXA hat is signed by BMX pioneers Bob Haro and Cathy Hanna, two influential figures from the early era of BMX freestyle and racing. Haro, a freestyle innovator and founder of Haro Bikes, inscribed the hat with “80,” referencing the early years of freestyle BMX development. The autograph also includes the name Laurie, likely referencing the original recipient of the signatures.",BMX Action,,"Bob Haro is widely recognized as one of the pioneers of freestyle BMX and the founder of Haro Bikes, a company that helped popularize freestyle riding and BMX-specific components during the 1980s. His signature alongside Cathy Hanna connects two influential figures from BMX’s early media and freestyle culture.",,,,,
26.0045,"GHP Cruiser Bars with ""15"" Plate",Bars and Plate,"These cruiser handlebars from Greg Hill Products (GHP) are paired with a #15 BMX number plate, representing equipment used in cruiser-class BMX racing. GHP was founded by BMX champion Greg Hill, whose racing success in the 1980s helped establish the brand within competitive BMX. Components like these handlebars reflect the rider-driven equipment designs that emerged as BMX racing continued to evolve.",Leary Locker,,"Greg Hill Products (GHP) was founded by BMX champion Greg Hill, a dominant racer of the 1980s who later developed racing frames and components through the GHP brand. Hill later appeared on the Lititz BMX podcast, discussing his racing career and the development of GHP equipment.",,,,,
26.0046,Harry Leary's Toolbox,Equipment ,"This toolbox belonged to BMX pioneer Harry Leary and was used to store tools and parts for maintaining his race bikes. Items like this reflect the hands-on nature of BMX racing during the sport’s early years, when riders often worked on their own equipment between races and practice sessions. Personal artifacts such as Leary’s toolbox provide insight into the everyday preparation and mechanical work behind competitive BMX.",Leary Locker,,"Like many racers of BMX’s early era, Harry Leary often worked on his own bikes between races and practice sessions. Personal toolboxes such as this one were common at BMX tracks, where riders carried spare parts and tools needed to quickly repair or adjust their equipment during race days.",,,,,
26.0047,"Harry Leary DIRTWERX frame ""PR12"" Prototype",Frame,"This DIRTWERX “PR12” prototype frame was owned by BMX pioneer Harry Leary and represents an experimental design developed during his later involvement with DIRTWERX frame projects. Prototype frames such as this were typically produced in limited numbers to test geometry, materials, or performance before potential production. Artifacts like the PR12 highlight the continued innovation and hands-on frame development that Leary remained involved with throughout his BMX career.",Justin Dumas,,"DIRTWERX was founded by BMX pioneer Harry Leary in 1996 after the collapse of the BMX company Balance, where Leary had served as general manager. Wanting to build something of his own after decades of racing and promoting other brands, Leary launched DIRTWERX as a race-driven BMX company, focusing on high-quality chromoly frames, forks, and handlebars. The brand emphasized durability and ride characteristics over lightweight aluminum construction, reflecting Leary’s belief that steel provided better performance and longevity for most riders. Though a small operation, DIRTWERX products were exported internationally and developed through Leary’s continued involvement in BMX racing and rider feedback.","https://bmxultra.com/archive/prosection/interview/harryleary.htm

",,,,
