asset_id,episode,official_title,asset_type,stable_filename,original_library_filename,evidence_status,description
RR-EP09-PAGE,9,Introducing the Next Piece,page_capture,page-captures/episode-09-page-capture.png,2026-07-18_18-59-22.png,verified episode evidence,"The Lititz BMX public archive page for Episode 9, Introducing the Next Piece."
RR-EP09-FB,9,Introducing the Next Piece,facebook_post_screenshot,source-images/episode-09-facebook-post.png,unnamed (11).png,verified episode evidence,"The original March 19, 2025 social-media post introducing the detached Radical Rick head component."
RR-EP10-PAGE,10,Looking for Color,page_capture,page-captures/episode-10-page-capture.png,2026-07-18_19-02-03.png,verified episode evidence,"The Lititz BMX public archive page for Episode 10, Looking for Color."
RR-EP10-FB,10,Looking for Color,facebook_post_screenshot,source-images/episode-10-facebook-post.png,unnamed (12)(1).png,verified episode evidence,"The original March 20, 2025 social-media post positioning the detached head among Radical Rick artwork and tattoos."
RR-EP11-PAGE,11,Learning the Past,page_capture,page-captures/episode-11-page-capture.png,2026-07-18_19-05-23.png,verified episode evidence,"The Lititz BMX public archive page for Episode 11, Learning the Past."
RR-EP11-FB,11,Learning the Past,facebook_post_screenshot,source-images/episode-11-facebook-post.png,unnamed (13)(1).png,verified episode evidence,"The original March 23, 2025 social-media post connecting Damian Fulton, anxiety, mental-health discussion, and the Radical Rick campaign."
RR-EP12-PAGE,12,Inside Rick's Mind,page_capture,page-captures/episode-12-page-capture.png,2026-07-18_19-08-24.png,verified episode evidence,"The Lititz BMX public archive page for Episode 12, Inside Rick's Mind."
RR-EP12-FB,12,Inside Rick's Mind,facebook_post_screenshot,source-images/episode-12-facebook-post.png,unnamed (14)(1).png,verified episode evidence,"The original March 21, 2025 social-media post showing Rick's head with Radical Rick: The Complete Episodes."
RR-EP13-PAGE,13,More Than the Character,page_capture,page-captures/episode-13-page-capture.png,2026-07-18_19-10-58.png,verified episode evidence,"The Lititz BMX public archive page for Episode 13, More Than the Character."
RR-EP13-FB,13,More Than the Character,facebook_post_screenshot,source-images/episode-13-facebook-post.png,unnamed (15).png,verified episode evidence,"The original March 22, 2025 social-media post showing the head component with Damian Fulton creator-history material."
RR-EP14-PAGE,14,A New Racer Has Been Born,page_capture,page-captures/episode-14-page-capture.png,2026-07-18_19-13-50.png,verified episode evidence,"The Lititz BMX public archive page for Episode 14, A New Racer Has Been Born."
RR-EP14-FB,14,A New Racer Has Been Born,facebook_post_screenshot,source-images/episode-14-facebook-post.png,unnamed (16).png,verified episode evidence,"The original March 25, 2025 social-media post showing the assembled figure and crediting sculptor Takeo “Taco” Tsuhara."
RR-EP15-PAGE,15,Was There More? — Lost Episode,page_capture,page-captures/episode-15-page-capture.png,2026-07-18_19-18-47.png,contaminated duplicate evidence; not original Episode 15 source,"The surviving Lititz BMX Episode 15 page capture, which duplicates Episode 12 material and is preserved only as contaminated evidence."
RR-EP15-FB,15,Was There More? — Lost Episode,facebook_post_screenshot,source-images/episode-15-facebook-post.png,unnamed (17).png,contaminated duplicate evidence; not original Episode 15 source,"The surviving screenshot associated with Episode 15, which duplicates Episode 12 content and is not accepted as the original Episode 15 source."
RR-EP16-PAGE,16,The Build is Complete,page_capture,page-captures/episode-16-page-capture.png,2026-07-18_19-23-21.png,verified episode evidence,"The Lititz BMX public archive page for Episode 16, The Build is Complete."
RR-EP16-FB,16,The Build is Complete,facebook_post_screenshot,source-images/episode-16-facebook-post.png,unnamed (18).png,verified episode evidence,"The original March 27, 2025 social-media post using the completed helmeted head as the final teaser."
RR-EP17-PAGE,17,Final Clues,page_capture,page-captures/episode-17-page-capture.png,2026-07-18_19-28-19.png,verified episode evidence,"The Lititz BMX public archive page for Episode 17, Final Clues."
RR-EP17-FB,17,Final Clues,facebook_post_screenshot,source-images/episode-17-facebook-post.png,unnamed (19).png,verified episode evidence,"The original March 24, 2025 social-media post documenting the box, certificate, signature, and edition provenance."
RR-EP18-PAGE,18,All Will Be Revealed,page_capture,page-captures/episode-18-page-capture.png,2026-07-18_19-29-34.png,verified episode evidence,"The Lititz BMX public archive page for Episode 18, All Will Be Revealed."
RR-EP18-FB,18,All Will Be Revealed,facebook_post_screenshot,source-images/episode-18-facebook-post.png,unnamed (20).png,verified episode evidence,"The original March 26, 2025 social-media post showing the assembled figure with Damian Fulton material before the finale."
RR-EP19-PAGE,19,The Finale,page_capture,page-captures/episode-19-page-capture.png,2026-07-18_19-36-39.png,verified episode evidence,"The Lititz BMX public archive page for Episode 19, The Finale."
RR-EP19-FB,19,The Finale,facebook_post_screenshot,source-images/episode-19-facebook-post.png,unnamed (21).png,verified episode evidence,"The original March 28, 2025 finale post announcing the campaign conclusion, giveaway selection, and final video."
