0:011 secondhey Damen Damen over here Damen Kyle how are you I'm good man I
0:088 secondscan't believe you found the perfect spot thanks for getting the logs going you have the fire blazing and everything oh you brought your daughter what's her
0:1616 secondsname this is Ann Marie I think it's so cool that you brought her down here I mean what a beautiful place it's just a
0:2323 secondsnice little Chill Spot and I appreciate you taking a ride down you got me out of my studio I've been painting like crazy oh no probably notice that you can see
0:3232 secondsthis pain on the side of my face I mean it gets all over I wasn't going to say anything to be honest with you hey that's art that is true it's not an
0:4040 secondsaccident Custom Design right there right I called you down here to I know we've talked a little bit about our past etc
0:4848 secondsetc but you've really been there since the beginning of this and you took a
0:5353 secondschance on I'm a big fan of practicing gratitude so thank
1:001 minutewelcome so I I'm getting ready to run another charity and this time it's with one of Harry L's really good friends
1:091 minute, 9 secondsfrom the modern era and okay my Prime era was 87 to 93 I
7:387 minutes, 38 secondsthink very few writers had the notoriety kind of tidbit is not everybody got to
7:457 minutes, 45 secondssee these guys ride well you had to be so fortunate if you were a fan sure those Pros never came rarely would come
7:537 minutes, 53 secondsever to a local track yeah you know unless that track staged a national or a grand or something like that
8:008 minuteswas part of the Ava circuit so it was very difficult for you to actually see these people in real life so their
8:078 minutes, 7 secondsimagery ads and magazines they test ride a bike sometimes they just became legendary yeah they became Heroes to
8:158 minutes, 15 secondsthese kids an example I'll give you is if you're a NBA fan you love basketball you have your guide team you root for
8:248 minutes, 24 secondsyeah it was the same thing as that but kids that wrote BMX maybe weren't interested in traditional sports like football but their passion was BMX so
8:338 minutes, 33 secondswhoever was hot in BMX they became the icon they became the equivalent of a Teen Idol for a girl you got a upage
8:428 minutes, 42 secondsspread they would rip that out kids would rip that out and put her on their their wall and and I tore through
8:498 minutes, 49 secondsmagazine I get that yep you mentioned you're kind of talking about and I grew up in a fortunate situation not knowing
8:568 minutes, 56 secondsit and I did the three season for right the baseball basketball football I was never allowed to race but I was on my
9:049 minutes, 4 secondsBMX bike every day for oh years down at the river trails and exactly who was at
9:139 minutes, 13 secondsthe river trails with me at that time frame none other than the Livermore boss team so I got to watch those guys a lot
9:229 minutes, 22 secondsI was bored by what they were able to do I couldn't ever imagine doing such a thing but it was it was a really cool to be a part of even though it was totally
9:319 minutes, 31 secondsoutside of anything yeah that's so cool yeah everybody's got a local gang group Club
9:399 minutes, 39 secondsfriend group whatever it is that they rode with and there was always those kids slightly older or maybe the same age that were slightly Wilder and they
9:479 minutes, 47 secondswere local Legends you know you always have the local Legends they were well let me let me let me let me finish up this thing about Harry lry when I was
9:569 minutes, 56 secondsdoing radical Rick that's the other thing I knew is there were when I popped in a character a writer a recognizable
10:0310 minutes, 3 secondswriter as in a cameo or did a story around Greg Hill or Stu or people love
10:1110 minutes, 11 secondsthat and also if I could have somebody a writer Eddie fola whoever pop in in the
10:2010 minutes, 20 secondsbackground and interact with Rick it was he gave radical Rick a little bit of a legitimacy like he's on the same level
10:2610 minutes, 26 secondsas these guys yeah so Harry would pop in all the time even if he's just in the background it's so funny by the way
10:3310 minutes, 33 secondstotal sidebar okay fast forward all right 45 years later oh my goodness last year last year I was a nominee at the
10:4310 minutes, 43 secondsBMX Hall of Fame and every year they have a old school vintage race and to commemorate that that's out in Tulsa I
10:5110 minutes, 51 secondsdid a poster of a bunch of riders it look like they're in the main or something like that these pro riders
11:0011 minutesand they're coming over radical Rick is in the front because he's radical Rick
11:0711 minutes, 7 secondsand flanking him are all these other pro riders but and they're going over what it looks like a jump but if you look
11:1411 minutes, 14 secondscloser it's not a jump It's the Grim Reaper he becomes a jump and you know the metaphor being like I know this is
11:2211 minutes, 22 secondsan old vintage thing and these are a bunch of old dudes but they're not going to let time slow them down or age and in that group at the top of course you have
11:3111 minutes, 31 secondsradical Rick but I had Tommy brackens and I had Harry in there and a couple other guys too recogniz one of the
11:3811 minutes, 38 secondsPatterson brothers so here's what's so crazy all right more of the Deep dive on Harry yeah and how he comes in and out of my life working on a collaboration
11:4811 minutes, 48 secondswith a BMX shoe company called scg okay and it's the only Rider owned shoe
11:5611 minutes, 56 secondscompany this guy refuses to sell out to the big companies you know whoever wants to come and buy him he won't do it yeah
12:0412 minutes, 4 secondsand the is line is so cool and anyway he sends me out of the kindness of his heart he really wants me to sign up with
12:1212 minutes, 12 secondshim because over the years a lot of companies have wooed me to do radical Rick and you know to use radical Rick as
12:2012 minutes, 20 secondsa licensing tool on licensing product an IP intellectual property for products
12:2612 minutes, 26 secondsand this guy sends me two slipons like classic band style slipons oh okay two
12:3412 minutes, 34 secondspairs and the image on it got that image from the Grand National vintage race he
12:4212 minutes, 42 secondsput it on the shoe so when you put them together it shows the whole lineup of riders across your toes that is cool and
12:5112 minutes, 51 secondsand there's Harry again showing up it's incredible so then yeah popping up my
12:5912 minutes, 59 secondslife so like 45 years of being woven with Harry I know it's a weird way to say it but it's kind of what I just
13:0513 minutes, 5 secondsheard yes so Harry is just so interesting he's popped in and out of my life from my early days of advertising
13:1413 minutes, 14 secondscreating ads for diamond back and then of course drawing him and radical Rick and just to to now to have him come back
13:2213 minutes, 22 secondsand pop into some of my artwork again I was crushed when I found out that he passed away it's such a bummer yeah and
13:2913 minutes, 29 secondsyou know I don't know the details but here's what I know is when you're a little kid well I shouldn't say little kid when you're a young person a young
13:3713 minutes, 37 secondsman the fame that he got early on you know you go through a period of life where you are an absolute rock star MH
13:4613 minutes, 46 secondsand you hear some of the stories of these guys going on tour I mean they legitimately were they were like the Beatles you know they show up to some
13:5413 minutes, 54 secondsplace and the kids are just mobbing them the stories are amazing so I would think you know none of us you know an example
14:0214 minutes, 2 secondsis I was always behind the scenes radical Rick was out front all my artwork was out front but I'm I'm just a dude in a garage drawing artwork and
14:1014 minutes, 10 secondsdreaming of living large you know I'm not W nobody knows what I look like nope it was kind of a nice nice way to go so
14:1814 minutes, 18 secondsyou have a mask is thing so you created well anyway so when I found out
14:2514 minutes, 25 secondsHarry passed I thought oh my gosh you know some guys make get out of that Journey you know being a Teen Idol yeah
14:3214 minutes, 32 secondsand some of them it's just something that scars them and I don't know if that contributed to it you know because when
14:4014 minutes, 40 secondsyou are it would be so difficult to be top of the world at a young age and then
14:4814 minutes, 48 secondsto have it slowly be you get past basically yeah you know it's the next Superstar takes your place and yeah not
14:5714 minutes, 57 secondseverybody not everybody body can adjust to that yeah he definitely had challenges later in life that I've
15:0515 minutes, 5 secondslearned of and you know we all have challenges I kind of I'm glad that you brought up the age thing because it's not necessarily something I I thought of
15:1415 minutes, 14 secondsfrom that perspective of peing young you know going down from there so that puts a little bit different perspective of him in my mind I thank for that
15:2215 minutes, 22 secondsunderstanding think about it think about it too Kyle you know when you're a young person and hot
15:2915 minutes, 29 secondsother teams are trying to get you and they're offering you they are just blowing smoke up your end you're the greatest things in the world you you're
15:3715 minutes, 37 secondsso much better than everybody else and we're going to take you to new heights because you deserve it and there's a saying don't believe your press most I
15:4615 minutes, 46 secondsshouldn't say all of them that's really unfair but a lot of these companies were they just wanted what was the hottest
15:5315 minutes, 53 secondsflavor of the week yeah and if Harry happened to be that guy they would throw the full force promise of the Moon and
16:0116 minutes, 1 secondyou go from people clamoring to have a little bit of Harry or a little bit of start they want you to be the next
16:1016 minutes, 10 secondsSuperstar to represent their brand so they're willing to tell you anything sure about the money you're going to make all the plans they have for you you
16:1716 minutes, 17 secondsdeserve it you do you're the greatest thing since uh the right brothers and suddenly you know you're believe in the hype and then when the phone doesn't
16:2516 minutes, 25 secondsring anymore when the money dries out and that's all you know think about this SC they were at the peak of their where
16:3216 minutes, 32 secondsthey would be going to college yeah so I think that would be pretty tough for anyone to endure I've heard some stories
16:4016 minutes, 40 secondsof other jobs that Harry had to take to make his meet at time like driving a bus which I think it's kind of interesting
16:4716 minutes, 47 secondsand humbling from that perspective yeah that it would have been a heck of a ride
16:5516 minutes, 55 secondsoh everybody buckle your seat belt click click we're off but but yeah I've heard
17:0217 minutes, 2 secondsthat a lot especially when the money started drying up in the later 80s a lot of people had had a hard time with that and it's just it's interesting to get
17:1017 minutes, 10 secondsthat perspective or that Insight from you even though you didn't fall victim to it but you have an understanding of it yeah yeah yeah here you go sorry hey
17:1917 minutes, 19 secondsno put that down no sand and the bucket down oh boy sorry David but worse so
17:2617 minutes, 26 secondsfrom kind of I um we were just talking about Harry's
17:3417 minutes, 34 secondsLegacy yeah the good news is that majority of people who knew Harry and raced against him and remember him
17:4217 minutes, 42 secondsappreciate what he did for the sport how important he was to help brand the sport in the growing early years yeah and I
17:5117 minutes, 51 secondsbelieve his legacy is going to live on in a positive way I believe so and I hope it does and I have one final
17:5917 minutes, 59 secondsquestion for you regarding that I got to ask it first word that comes to mind when you think of Harry as a BMX
18:0618 minutes, 6 secondsLegend I keep thinking tenacious love it thanks Sam so I was also kind of thinking about how you and I met and the
18:1518 minutes, 15 secondsevolution of kind of this friendship and relationship that we have yeah how did we meet take me back to the golden AG
18:2318 minutes, 23 secondswasn't it in it was on the swany river I believe 1994 and I believe that you were a steamboat
18:3118 minutes, 31 secondscaptain and I was a lowely oresman when suddenly the ship went around and thankfully for your Ingenuity and
18:3918 minutes, 39 secondsmcgyver you were able to save the ship and if it wasn't for me lending you my paddle you would have been able to hook
18:4618 minutes, 46 secondsup that helicopter machine contraption that lifted the boat out of the rocks and saved everyone aboard it and from
18:5318 minutes, 53 secondsthat time on you've been indebted to me for me carrying the ore and turning it over to you to create such a wonderful
19:0019 minutesrescue we'll be friends for life yeah but I have one question about that can can I keep the ore uh it's yours forever
19:0819 minutes, 8 secondsmaybe have it bronzed oh yeah actually yeah I like that honest with you I don't know have to think about that well how
19:1519 minutes, 15 secondsdid we go ahead let's talk about how we met I started a group on Facebook and I
19:2219 minutes, 22 secondspurchased something I purchased a trophy on eBay it was from radical Rick and I was was going to put it into my radical
19:3019 minutes, 30 secondsRick collection and I just happened to ask the seller is was this and he said Harry Larry so I reached out to you to
19:3719 minutes, 37 secondsoffer you the trophy you proposed a different option and it's turned out to be kind of fun and cool and I I had a
19:4519 minutes, 45 secondsreally good time and I felt good after our experience I remember that so fondly and
19:5219 minutes, 52 secondsyou know what is wild Kyle is I get so many wacky requests for startup t-shirt companies commissions logos and over the
20:0220 minutes, 2 secondsyears I've realized that pretty quick vetting system asking people and I can just chitchat with them a little while
20:0920 minutes, 9 secondsand I can tell if they're full of blone or they're they're not going to go anywhere or they'll get interest Decay and interest Decay is a term that I use
20:1820 minutes, 18 secondswe live in a fallen world you know stuff is constantly falling apart and there's always this sort of atrophy of
20:2620 minutes, 26 secondsexcitement that happens great idea around the water cooler a week later maybe a mediocre idea a week later not
20:3520 minutes, 35 secondseven a glimmer of how cool it could have been and then it's forgotten by the third week and I could tell that you were kind of a take this the best
20:4320 minutes, 43 secondspossible way you made it really clear that you were putting time into how we could do this you were excited about it
20:5120 minutes, 51 secondsyou were sponsive I said this is a good cause this the right thing to do yeah it involves radical Rick and if I can help
20:5820 minutes, 58 secondsr raise some money that is fantastic great and so I remember it well and I'm glad you asked me because as a result of
21:0621 minutes, 6 secondsthat I get to sit by the beach watch your daughter play with what is that a sand castle or is that a sand Mansion fantastic talking that's cool that was
21:1521 minutes, 15 secondsreally cool to hear your perspective of how we came together and well we've talked a little bit about doing another charity but I've kind of idea in mind
21:2321 minutes, 23 secondsand hope to talk with you soon later we'll talk later yes sound very soon I
21:3021 minutes, 30 secondsthink it's pretty sound thing but Greg he's a friend of Harry's and I are going to be running a charity again here very soon and after that I plan on reaching
21:3821 minutes, 38 secondsout cool let me know how I can help yes sir so I I'm sorry I Googled you you know you're us to Google but you used to
21:4721 minutes, 47 secondswork for Hot Wheels I did advertising work for years on metal He-Man Hot
21:5421 minutes, 54 secondsWheels what I did so many Masters of the Universe commercials and yeah I wore craft cereal for years I was
22:0222 minutes, 2 secondsat an agency and that little agency that I went to my first job ever I parlay
22:0922 minutes, 9 secondsthat into my wife basically asked me like you're an illustrator ski instructor what is this advertising stuff what are we going to do with it I
22:1722 minutes, 17 secondssaid well really to make a go at it we either got to move to LA New York or Chicago cuz those are the centers and we
22:2522 minutes, 25 secondswere living in Huntington Beach at the time okay and and I drove up to Los Angeles which might as well when you're an Orange County kid going to Los
22:3422 minutes, 34 secondsAngeles is like you might as well be going to downtown Manhattan New York because it was just so foreign to us we had dirt fields we could ride bikes in
22:4322 minutes, 43 secondswe had beaches we just wide open and anyway so I headed up there and I had a contact from college who had a job and I
22:5222 minutes, 52 secondswas able to get in there and a funny story is I positioned myself as a Hy toyy creative director showing them all
22:5922 minutes, 59 secondsmy fancy schmancy ads but I didn't let them know I could draw because I wanted to just see my thinking and in the traditional world of
23:0723 minutes, 7 secondsadvertising nobody can really draw that you hire illustrators you hire artists to do your storyboards you hire people
23:1523 minutes, 15 secondswhose sole job it is is to create the imagery that you use to sell to the client and so they went through my whole book and they were looking you know I
23:2423 minutes, 24 secondswas the youngest guy in their department and the guy that was interviewing me goes you know we really need somebody
23:3123 minutes, 31 secondswho can draw and thank goodness in the back of portfolio I had a two-page spread of
23:4023 minutes, 40 secondsradical Rick when he introduces the TAC okay and it was laminated and I said well I drew this
23:4923 minutes, 49 secondswell I didn't know it was from Hot Wheels and he was the creative director on Hot Wheels he goes wait right here he
23:5623 minutes, 56 secondsbrings in the executive creative director and he goes Dan I want you to meet Damen Fulton he drew this he looks at my radical Rick you know I thought
24:0524 minutes, 5 secondsradical Rick was just those you know I didn't think a big Wilshire Ad Agency would care about a comic strip and he
24:1124 minutes, 11 secondsgoes wait a second you drew this I go yeah you wrote this I said said yeah and
24:2124 minutes, 21 secondsthe guy just went guys come here and all sudden all the offs is empty and the place was filled with poets and
24:3024 minutes, 30 secondsscreenwriters and everybody had been divorced multiple times it was kind of like the tail end of the Mad Men Days and I was this Plucky kid from
24:3724 minutes, 37 secondsHuntington Beach and thankfully they hired me on the spot and I went to work immediately on Hot Wheels eventually
24:4524 minutes, 45 secondsworking on Masters of the Universe I worked on tons of kids products and it was great if I could ever work
24:5224 minutes, 52 secondsskateboard or bicycle in a commercial I did it all the time I love it so yeah that was my world and R Rick there's another example of how radical Rick
25:0125 minutes, 1 secondopened a door for me that turned out to be my career my livelihood I went on to become a creative director there I went
25:0825 minutes, 8 secondsover to Marvel and worked when Marvel was an animation company back into advertising and started directing TV
25:1525 minutes, 15 secondscommercials and movies and yeah so I've had a really blessed career I'm so fortunate I couldn't have planned it and I'm still drawn radical Rick today 45
25:2425 minutes, 24 secondsyears later pretty funny I'm not doing the comic script you're not going to believe this what's that can't see this but because I've got it hidden behind my back underneath my beach towel but I'm
25:3325 minutes, 33 secondsactually doodling as we speak on a clipboard that has an image of radical red so I've seen those that you've made
25:4125 minutes, 41 secondsthey're amazing I wanted to buy from your last batch but I'm happy that I got the Super Cross G oh you got one of
25:5025 minutes, 50 secondsthose those print that's awesome yes I got the go I have not yet taken out of the box it's sitting with my 40th anniversary and a couple other things
25:5725 minutes, 57 secondsright now yeah that's cool man well you you enjoy that that was it we good good job man
26:0526 minutes, 5 secondsthose things are F that was a fun image I made I remember making it try to do stuff now that are in the character of
26:1226 minutes, 12 secondsrad Uncle Rick like what how would radical Rick appear today and that concept of this time portal where the
26:2026 minutes, 20 secondsradical Rick of the past is bracing the radical Rick of the present the first time I've done a radical Rick in modern
26:2826 minutes, 28 secondsBMX regalia it was really fun to kind of experience that research that yeah they're going head to-head in the background a lot of times what I like to
26:3726 minutes, 37 secondsdo is packet full of 80s type references and I love that yeah it's just fun because then it gives me a chance that kind of giving a nod to my old you know
26:4526 minutes, 45 secondsI read Mad Magazine religiously as a kid and in that style of always sort of lampooning other brands and other pop
26:5426 minutes, 54 secondsculture icons I love just slipping them in and surprising myself oh right there's a Ninja Turtle I wonder what he looks like dra in the radic style I've
27:0327 minutes, 3 secondsgot to tell you I think I don't I own your paperback the oh you got it the complete episode have not completely read it from
27:1127 minutes, 11 secondsfront to back yet but I do like going through I selecting it every so often and my probably my favorite thing and I
27:1827 minutes, 18 secondsI got to admit I don't know if I have a favorite episode EX for the ending which I want to talk with you about but what I love is I told you my genre very small
27:2827 minutes, 28 secondscommunity that we had like three bike manufacturer and now I've learned over the years of all these other Racers and
27:3727 minutes, 37 secondsall of these other bike manufacturing companies and I'm finding them in your your book yeah it's fun so funny yeah
27:4627 minutes, 46 secondsback then I go to the BMX plus offices once a month drop off the radical Rick and back then it was big pan painted it
27:5427 minutes, 54 secondswas not digital they would have to take it from me take original artwork and scan it because it needed an oversized
28:0128 minutes, 1 seconddrum scanner huh and sometimes I'd get them back the the beauty is I'd be in their offices and I get to just hang out
28:0828 minutes, 8 secondstalk with everybody and Jun car the photographer and you know they had went through various editors over the years and it was great because I could see
28:1728 minutes, 17 secondslooking at John Carr's proof sheets I could see all the emerging Racers and then they had a room that would be where
28:2528 minutes, 25 secondstheir test spikes were you know manufacturers sent them bikes by the boatload I can imagine because they were just hoping that they would test it or
28:3328 minutes, 33 secondsgive a review you needed that the magazines were a credible Source it legitimized a brand and if you got a
28:4128 minutes, 41 secondsgood review the manufacturers by company scratched you know BMX plus and BMX actions back because they were they were
28:4928 minutes, 49 secondsbuying advertising so you know and I don't know how much buy all this advertising and you get a really glowing review and the
28:5628 minutes, 56 secondstest riter couldn't break the bike and the test rider went a higher the best bike in the world but anyway my point is
29:0229 minutes, 2 secondsgoing into the offices of BMX plus over 13 years I got to see the evolution of
29:0929 minutes, 9 secondsthe sport I got to see and appreciate the various phases it I look back and it's all reflected in that book because
29:1729 minutes, 17 secondsif you go to the early days the first time I drew Ric was 1979 and so it was just starting to really take a hold of
29:2529 minutes, 25 secondshave an organizing body of races and everything thing all the way through to where the end it was beginning of the X Games and anyway I'm just so thankful by
29:3429 minutes, 34 secondslooking back at this that I got to step in the office of BMX plus and see the develop of BMX right before my eyes I
29:4229 minutes, 42 secondscan only imagine the things you've seen in this sport over the last 45 years is really cool I think but hey you know
29:5029 minutes, 50 secondswhat the coolest the coolest thing in the world I just want to say real quick is I got to take off here in a little while the incredible vindication in the
29:5829 minutes, 58 secondslast few years for the sport of BMX bikes have never gone away yeah the one thing that I am so thankful that I got
30:0630 minutes, 6 secondsto see so many years later is the emergence of BMX culture in so many
30:1330 minutes, 13 secondsdifferent ways mainstreamed again when we were kids a 20-in bike was the mode
30:2030 minutes, 20 secondsof operation you remember that everywhere everywhere and then around the early 90s mountain bikes came in Y
30:2830 minutes, 28 secondsand that's really what killed the sport was what I should say killed the sport killed the momentum that was growing
30:3630 minutes, 36 secondsbecause in order to purchase ads and magazines in order to grow the sport you need to have bicycle manufacturers
30:4330 minutes, 43 secondssupporting teams and events and all their focus went to mountain bikes Y and if you were a kid in the '90s after
30:5130 minutes, 51 secondsabout 94 you started asking for a mountain bike uhhuh 26in wheel or bigger instead of a BMX bike and suddenly BMX
31:0131 minutes, 1 secondwas struggling just so sad and then thank God the X game and the extreme sports movement in general revitalized
31:1031 minutes, 10 secondsit it's kind of funny is in the 2000s BMX plus picked up radical Rick again even though I wasn't drawing yeah you
31:1731 minutes, 17 secondsknow went on for several more years and now to see the sport I remember when it was put in the Olympics you can have discussion after discussion and argument
31:2531 minutes, 25 secondsabout SP gone too far whatever it's still bikes and it's still guys hustling to get around a track as fast as possible that's incredible and then
31:3431 minutes, 34 secondsthe stuff they're doing in the air right now in parks and just free riding phenomenal I was just looking at one today earlier today I got my haircut the
31:4331 minutes, 43 secondsbarber had a screen up and it was a red bull rider on a 20-in bike through Italy and they'd set up all these crazy ramps
31:5231 minutes, 52 secondsand everything and oh my gosh the kind of inversions they can do and it's beautiful see the sport I like to call
31:5931 minutes, 59 secondsit cool again I'm stoked that it's cool again and now with the Advent of big wheel bikes and you can have that same BMX experience even though you're a long
32:0732 minutes, 7 secondsand lanky stiff arthritic old man you could still ride and wheelie it's awesome yeah and I know a lot of people
32:1432 minutes, 14 secondslike to bag on se but they really did something with bike life and I think they do oh they sure did so Todd Li oh
32:2232 minutes, 22 secondsTodd is Todd Lions my favorite thing to do is to read when somebody bags on him because just get it right back yeah when
32:2932 minutes, 29 secondsI didn't know who Todd Lions was I used to bag on it because everybody when the big bike movement happened in Co a lot
32:3732 minutes, 37 secondsof bike manufacturers were they really want to come out with a radical wreck bike and so I talked to a lot of people
32:4332 minutes, 43 secondsTodd Lions is one of them GT I finally end up going with harro because they had such passion for the brand and it's an
32:5332 minutes, 53 secondsultimate irony because I'm often confused for people think Ric Rook was done by Bob Harold which is great Bob's a friend of mine and people are asking
33:0033 minuteshim I love your radic telling I love your radical rck oh my goodness thank you that wasn't me yes I am so thankful
33:0933 minutes, 9 secondsthat BMX has landed where it is and that you can continue to ride and just remember our youth and I'm certain that
33:1733 minutes, 17 secondsthis wave is going to continue long past we're gone hey it's been great chatting with you Daman I know you got well you got a few blocks to
33:2633 minutes, 26 secondsride well hey I'm going let get back to your family I'm going to head out here in a minute go find the wife and cool see what she's up to we'll catch up
33:3433 minutes, 34 secondslater Kyle tell me all about stuff yeah all right man well listen God bless you we'll talk again safe travels wherever
33:4133 minutes, 41 secondsyour next adventure takes you right thank you my friend to you as well take care bye bye

Sync to video time
